Occurrence Number,Occurrence Date,Registered On,State,Investigation Type,Risk,Title,Reg Mark
O16310-26,22/07/2026 12:19,22/07/2026,Open,,Acceptable (1),Servicio en tierra con cabina estéril,
O16377-26,21/07/2026 10:57,23/07/2026,Open,,Acceptable (1),AVA- POTENTIAL SAFETY RISK DURING GALLEY TRASH BAG CHANGE,N939AV
O16236-26,17/07/2026 00:13,17/07/2026,Open,Logged for Statistics,Acceptable (4),TAI- INADEQUATE ASSISTANCE DURING PRM DISEMBARKATION,N686TA
O16110-26,14/07/2026 16:55,17/07/2026,Open,Logged for Statistics,Acceptable (1),AVA- CABIN READY NOT CONFIRMED BEFORE FINAL APPROACH,HK-5409
O15607-26,08/07/2026 19:10,14/07/2026,In Progress,Assessment Only,Acceptable (4),AVA- HIGH VOLUME AISLE WHEELCHAIR PASSENGER BOARDING CHALLENGE,HK-5421
O15499-26,06/07/2026 22:30,14/07/2026,Open,,Acceptable (1),AVA- CATERING OVEN RACKS PAPER ATTACHMENT PRECAUTIONARY,N785AV
O14480-26,26/06/2026 06:20,30/06/2026,In Progress,Assessment Only,Tolerable (20),TAI- CURTAIN CLOSURE PROCEDURE,N967AV
O14319-26,24/06/2026 09:01,25/06/2026,In Progress,Assessment Only,Tolerable (20),AVA - CURTAIN CLOSURE PROCEDURE INCIDENT,HK-5368
O14712-26,13/06/2026 17:45,02/07/2026,In Progress,Assessment Only,Acceptable (2),AVA- CURTAIN CLOSURE PROCEDURE,N477AV
O13310-26,11/06/2026 19:30,12/06/2026,In Progress,Assessment Only,Tolerable (20),AVA- FLIGHT CREW INJURY DURING TURBULENCE,N632AV
O12684-26,02/06/2026 13:20,04/06/2026,In Progress,Assessment Only,Acceptable (4),AVA - TURBULENCE DURING DESCENT,N782AV
O14474-26,14/04/2026 13:00,30/06/2026,In Progress,Assessment Only,Tolerable (20),AVA- DISEMBARKING PROCEDURE,N557AV
