id;fecha;registrada;estado;investigacion;riesgo;titulo;matricula
O16304-26;22/07/2026 15:00;22/07/2026;O;;;Pasajero enfermo;N791AV
O16310-26;22/07/2026 12:19;22/07/2026;O;;;Servicio en tierra con cabina estéril;
O16421-26;21/07/2026 19:00;23/07/2026;O;;;SELLOS PORTACHALECOS;N422AV
O16377-26;21/07/2026 10:57;23/07/2026;O;;;AVA- POTENTIAL SAFETY RISK DURING GALLEY TRASH BAG CHANGE;N939AV
O16412-26;20/07/2026 22:28;23/07/2026;O;;;AVA- PASSENGER MEDICAL EVENT WITH MULTIPLE GO AROUNDS AND DIVERSION;HK-5424
O16443-26;20/07/2026 16:14;23/07/2026;O;;;Omisión del procedimiento del 360 a la aeronave;HK5389
O16455-26;20/07/2026 13:38;23/07/2026;O;;;AVA- ELECTRONIC CIGARETTE USE ONBOARD DURING CRUISE;N781AV
O16457-26;20/07/2026 13:00;23/07/2026;O;;;Uso Vaporizador a bordo/Conducta de pasajero;N781AV
O16467-26;20/07/2026 09:22;23/07/2026;O;;;AVA- PASSENGER MEDICAL EVENT WITH DIVERSION AND MEDLINK NONRESPONSE;N931AV
O16468-26;20/07/2026 09:20;23/07/2026;O;;;Situación médico abordo;
O16481-26;20/07/2026 07:00;23/07/2026;O;;;AVA- USE OF COLLEAGUE SIGNATURE DUE TO MISSING AUTHORIZATION;
O16486-26;20/07/2026 05:52;23/07/2026;O;;;AVA- FLIGHT RELEASE WITH BORROWED SIGNATURE DUE TO LEADER SIGNATURE DELAY;N567AV
O16236-26;17/07/2026 00:13;17/07/2026;O;LS;Acceptable (4);TAI- INADEQUATE ASSISTANCE DURING PRM DISEMBARKATION;N686TA
O16110-26;14/07/2026 16:55;17/07/2026;O;LS;Acceptable (1);AVA- CABIN READY NOT CONFIRMED BEFORE FINAL APPROACH;HK-5409
O15996-26;13/07/2026 13:01;17/07/2026;O;LS;Acceptable (1);AVA- PASSENGER BOARDING DELAYS DUE TO BOARDING PASS VERIFICATION;N664AV
O15983-26;13/07/2026 11:28;17/07/2026;O;LS;Acceptable (4);AVA- PASSENGER PERSONAL ITEM FALLS CAUSING MINOR INJURY ONBOARD;HC-CSF
O15943-26;12/07/2026 19:30;17/07/2026;O;;Acceptable (4);AVR- PASSENGER MEDICAL EVENT WITH INADEQUATE MEDICAL KITS IN FLIGHT;N281AV
O15607-26;08/07/2026 19:10;14/07/2026;P;AO;Acceptable (4);AVA- HIGH VOLUME AISLE WHEELCHAIR PASSENGER BOARDING CHALLENGE;HK-5421
O15499-26;06/07/2026 22:30;14/07/2026;O;;Acceptable (1);AVA- CATERING OVEN RACKS PAPER ATTACHMENT PRECAUTIONARY;N785AV
O14879-26;30/06/2026 06:40;03/07/2026;P;AO;Acceptable (4);AVA- PAX ILLNESS MEDICAL KIT USED;N765AV
O14480-26;26/06/2026 06:20;30/06/2026;P;AO;Tolerable (20);TAI- CURTAIN CLOSURE PROCEDURE;N967AV
O14517-26;25/06/2026 05:40;30/06/2026;P;AO;Acceptable (4);AVA- PAX ILLNESS MEDICAL KIT USED;N691AV
O14319-26;24/06/2026 09:01;25/06/2026;P;AO;Tolerable (20);AVA - CURTAIN CLOSURE PROCEDURE INCIDENT;HK-5368
O14208-26;22/06/2026 05:00;24/06/2026;P;AO;Acceptable (4);AVA- MISSING MEDICINE IN MEDICAL KIT;N783AV
O14712-26;13/06/2026 17:45;02/07/2026;P;AO;Acceptable (2);AVA- CURTAIN CLOSURE PROCEDURE;N477AV
O13310-26;11/06/2026 19:30;12/06/2026;P;AO;Tolerable (20);AVA- FLIGHT CREW INJURY DURING TURBULENCE;N632AV
O12684-26;02/06/2026 13:20;04/06/2026;P;AO;Acceptable (4);AVA - TURBULENCE DURING DESCENT;N782AV
O14474-26;14/04/2026 13:00;30/06/2026;P;AO;Tolerable (20);AVA- DISEMBARKING PROCEDURE;N557AV
